emp_title,emp_length,state,homeownership,annual_income,verified_income,delinq_2y,months_since_last_delinq,num_historical_failed_to_pay,total_debit_limit,account_never_delinq_percent,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,loan_status,balance,paid_total,paid_principal,paid_interest,paid_late_fees
global config engineer ,3,NJ,MORTGAGE,90000,Verified,0,38,0,11100,92.9,0,moving,individual,28000,60,14.07,652.53,Current,27015.86,1999.33,984.14,1015.19,0
warehouse office clerk,10,HI,RENT,40000,Not Verified,0,NA,1,16500,100,1,debt_consolidation,individual,5000,36,12.61,167.54,Current,4651.37,499.12,348.63,150.49,0
assembly,3,WI,RENT,40000,Source Verified,0,28,0,4300,93.5,0,other,individual,2000,36,17.09,71.4,Current,1824.63,281.8,175.37,106.43,0
customer service,1,PA,RENT,30000,Not Verified,0,NA,1,19400,100,0,debt_consolidation,individual,21600,36,6.72,664.19,Current,18853.26,3312.89,2746.74,566.15,0
security supervisor ,10,CA,RENT,35000,Verified,0,NA,0,32700,100,0,credit_card,joint,23000,36,14.07,786.87,Current,21430.15,2324.65,1569.85,754.8,0
,NA,KY,OWN,34000,Not Verified,1,3,0,27200,78.1,0,other,individual,5000,36,6.72,153.75,Current,4256.71,873.13,743.29,129.84,0
hr ,10,MI,MORTGAGE,35000,Source Verified,0,NA,0,9100,100,0,credit_card,joint,24000,60,13.59,553.35,Current,22560,2730.51,1440,1290.51,0
police,10,AZ,MORTGAGE,110000,Source Verified,1,19,0,22250,93,0,debt_consolidation,individual,20000,60,11.99,444.79,Current,19005.39,1765.84,994.61,771.23,0
parts,10,NV,MORTGAGE,65000,Source Verified,1,18,0,36700,97.1,0,home_improvement,individual,20000,36,13.59,679.58,Current,18156.66,2703.22,1843.34,859.88,0
4th person,3,IL,RENT,30000,Not Verified,0,NA,0,14700,100,0,credit_card,individual,6400,36,6.71,196.77,Current,6077.13,391.15,322.87,68.28,0
supervisor,10,IL,MORTGAGE,75000,Verified,0,50,1,5000,94.1,1,debt_consolidation,individual,25000,60,15.04,595.28,Current,24143.51,1764.95,856.49,908.46,0
register nurse,2,FL,MORTGAGE,91900,Source Verified,0,NA,0,9000,92,0,other,individual,40000,60,9.92,848.31,Current,38434.2,2500.84,1565.8,935.04,0
respiratory therapist & sleep lab tech,5,SC,MORTGAGE,122000,Source Verified,0,37,0,12100,84.4,0,debt_consolidation,individual,16000,36,13.59,543.67,Current,14525.3,2204.88,1474.7,730.18,0
senior inspector,10,CO,MORTGAGE,88000,Source Verified,0,44,0,70800,98.4,0,credit_card,individual,17000,60,9.43,356.46,Current,16326.13,1060.47,673.87,386.6,0
,NA,FL,MORTGAGE,17000,Verified,1,6,1,3600,90.9,1,debt_consolidation,individual,3000,36,19.03,110.02,Current,2744.21,454.36,255.79,198.57,0
dental hygienist,10,TN,MORTGAGE,60000,Not Verified,0,NA,0,39700,100,0,credit_card,individual,20000,60,19.03,519.15,Current,19172.64,2023.74,827.36,1196.38,0
,NA,NV,MORTGAGE,60000,Not Verified,0,77,0,15800,95.2,0,credit_card,individual,12000,60,19.03,311.49,Current,11374.52,1532.08,625.48,906.6,0
onsite medical ,3,NV,RENT,72000,Source Verified,0,37,0,2500,91.7,0,debt_consolidation,individual,30000,60,28.72,947.15,Current,28798.08,4687.88,1201.92,3485.96,0
operational risk manager,10,IL,MORTGAGE,210000,Verified,0,NA,0,17500,100,0,medical,individual,5000,36,26.77,203.51,Fully Paid,0,5202.642672,5000,202.64,0
welder,1,CA,MORTGAGE,83000,Source Verified,3,14,0,8300,63.6,0,debt_consolidation,individual,20000,60,15.05,476.33,Fully Paid,0,20653.71772,20000,653.72,0
maintenance adm assistant,10,KY,MORTGAGE,50000,Not Verified,0,NA,0,18800,100,0,credit_card,individual,7000,36,6.08,213.21,Current,6102.23,1063.69,897.77,165.92,0
warranty administrator,1,NV,MORTGAGE,42000,Source Verified,0,NA,1,10100,100,1,credit_card,joint,10000,36,11.98,332.05,Current,9296.37,989.49,703.63,285.86,0
underwriter,5,NJ,MORTGAGE,100000,Not Verified,0,NA,0,26200,100,0,debt_consolidation,individual,21050,60,13.59,485.34,Current,20045.3,1909.57,1004.7,904.87,0
,NA,TX,MORTGAGE,40280,Verified,0,NA,0,7500,90,0,home_improvement,individual,3500,36,6.71,107.61,Current,3323.42,223.71,176.58,47.13,0
program analyst ,10,VA,RENT,82000,Not Verified,0,67,0,11500,88,0,credit_card,individual,8000,36,7.96,250.55,Current,7403.61,744.57,596.39,148.18,0
surveyor/cadd tech,7,PA,MORTGAGE,55000,Source Verified,0,NA,0,22100,100,0,debt_consolidation,individual,18000,60,12.61,405.98,Current,17342.65,1205.33,657.35,547.98,0
associated ,1,NY,RENT,55000,Source Verified,0,44,0,17700,100,0,credit_card,individual,10000,36,11.98,332.05,Current,9432.28,750.79,567.72,183.07,0
inventory control specialist,5,IL,RENT,33000,Not Verified,0,NA,0,17600,100,0,debt_consolidation,individual,3200,36,7.34,99.31,Current,2557.44,696.63,642.56,54.07,0
inventory control,3,GA,RENT,60000,Not Verified,0,70,0,36400,92.3,0,debt_consolidation,individual,10000,36,5.32,301.15,Current,8704.48,1498.36,1295.52,202.84,0
sr direct supoort professional,4,MO,MORTGAGE,48000,Source Verified,0,NA,0,25000,100,0,house,individual,6000,36,6.07,182.73,Current,5540.54,544.14,459.46,84.68,0
director of operations,4,CA,MORTGAGE,106000,Verified,0,NA,0,62120,100,0,debt_consolidation,individual,12000,36,12.62,402.14,Current,10878.71,1600.15,1121.29,478.86,0
hospitalist,3,TX,MORTGAGE,245000,Source Verified,0,68,0,74100,100,0,debt_consolidation,individual,40000,60,9.44,838.91,Current,37878.15,3334.66,2121.85,1212.81,0
teacher,9,AR,MORTGAGE,50000,Verified,1,3,0,71100,90.3,0,credit_card,joint,19000,60,19.03,493.19,Current,18214.02,1922.54,785.98,1136.56,0
controller,3,SC,MORTGAGE,80000,Source Verified,0,35,0,23800,96.3,0,debt_consolidation,individual,28000,60,20.39,747.92,Current,27169.59,2180.32,830.41,1349.91,0
deputy,10,CA,MORTGAGE,140000,Not Verified,0,NA,0,58100,100,0,debt_consolidation,individual,15000,60,9.93,318.19,Fully Paid,0,15005.16688,15000,5.17,0
armed protection officer ,1,MD,OWN,70000,Source Verified,0,31,0,0,92.3,0,small_business,individual,2400,36,6.08,73.1,Fully Paid,0,2409.049993,2400,9.05,0
driver,2,MD,RENT,45000,Source Verified,0,NA,0,11300,100,0,debt_consolidation,individual,10000,36,21.45,379.07,Current,8961.95,1871.52,1038.05,833.47,0
supplies clerk,10,NJ,MORTGAGE,70000,Verified,0,102,0,12900,95.2,0,car,joint,24000,60,15.04,571.47,In Grace Period,23455.27,1102.83,544.73,558.1,0
loan consultant ,2,PA,RENT,75000,Not Verified,0,NA,0,19600,100,0,other,individual,9500,36,10.42,308.42,Current,8350.57,1531.1,1149.43,381.67,0
bank coordinator,2,CA,RENT,53592,Source Verified,0,NA,0,18800,100,0,other,individual,30000,36,12.61,1005.2,Current,27196.39,3978.77,2803.61,1175.16,0
,NA,MI,MORTGAGE,19000,Not Verified,0,NA,1,3000,100,1,other,joint,10000,60,18.06,254.27,Current,9465.3,1261.32,534.7,726.62,0
senior recruiter,5,MD,RENT,90000,Source Verified,0,NA,0,23900,100,0,moving,individual,15000,60,11.99,333.6,Current,14254.01,1314.42,745.99,568.43,0
reader advisor,10,VA,RENT,77000,Source Verified,0,80,0,27700,96.6,0,debt_consolidation,individual,35000,60,15.05,833.57,Current,33391.61,3275.75,1608.39,1667.36,0
truck driver,2,TX,RENT,42000,Source Verified,0,NA,0,8300,100,0,credit_card,individual,10000,36,15.05,346.9,Current,9097.26,1379.24,902.74,476.5,0
sales,4,TX,MORTGAGE,130000,Source Verified,0,NA,0,34300,100,0,home_improvement,individual,40000,60,12.62,902.37,Current,38042.58,3581.44,1957.42,1624.02,0
director of support services,10,NC,OWN,76300,Not Verified,0,68,1,16800,96.7,1,debt_consolidation,individual,15000,36,6.72,461.24,Current,13092.56,2295,1907.44,387.56,0
rn,2,FL,MORTGAGE,190000,Not Verified,0,NA,0,78300,100,0,debt_consolidation,individual,20000,36,6.71,614.9,Current,18991.05,1214.89,1008.95,205.94,0
police recruit,0,TX,RENT,41000,Verified,0,NA,0,10300,100,0,debt_consolidation,individual,4500,36,15.05,156.11,Current,4093.75,620.68,406.25,214.43,0
lead teller,2,NE,RENT,30000,Not Verified,0,NA,0,17000,100,0,car,individual,16000,60,9.93,339.41,Current,14947.68,1688.22,1052.32,635.9,0
registered nurse,6,NC,MORTGAGE,88000,Source Verified,0,61,0,32000,97.4,0,credit_card,individual,10000,36,10.42,324.65,Current,9036.27,1292.81,963.73,329.08,0
hes advisor ,2,TX,MORTGAGE,115000,Verified,0,26,0,40150,76,0,debt_consolidation,individual,20000,60,22.91,562.78,Current,19255.22,2225.66,744.78,1480.88,0
sr admin assistant,10,TX,RENT,95731,Not Verified,0,NA,0,33700,100,0,debt_consolidation,individual,20600,60,30.79,676.52,Current,19821.53,3345.79,778.47,2567.32,0
president,2,CA,RENT,127000,Source Verified,1,7,0,32300,100,0,major_purchase,individual,35000,60,15.05,833.57,Current,33396.01,3305.02,1603.99,1701.03,0
hvac technician,10,GA,MORTGAGE,75000,Source Verified,0,NA,0,23000,100,0,debt_consolidation,joint,10000,36,6.07,304.54,Current,9234.27,910.25,765.73,144.52,0
nurse assistant,5,NC,MORTGAGE,70000,Not Verified,0,NA,0,14800,100,0,debt_consolidation,individual,12000,36,6.07,365.45,Current,11081.12,1092.3,918.88,173.42,0
,NA,FL,OWN,22000,Source Verified,0,49,0,2300,80,0,debt_consolidation,joint,1925,36,17.47,69.09,Current,1842.26,139.02,82.74,56.28,0
driver,8,NJ,MORTGAGE,75000,Verified,0,NA,0,49600,100,0,house,individual,15000,36,7.34,465.5,Current,13871.88,1390.38,1128.12,262.26,0
gourmet food server,10,NV,MORTGAGE,73000,Verified,0,NA,1,40600,100,1,debt_consolidation,individual,20000,36,13.59,679.58,Current,18156.66,2703.22,1843.34,859.88,0
,NA,NV,MORTGAGE,76000,Not Verified,0,NA,0,56300,100,0,debt_consolidation,individual,6000,36,6.72,184.5,Current,5391.31,736.88,608.69,128.19,0
program manager,10,CO,RENT,188000,Not Verified,0,NA,0,28500,100,0,debt_consolidation,individual,10000,36,5.31,301.11,Current,8965.72,1201.49,1034.28,167.21,0
deputy assessor ,8,WV,MORTGAGE,50000,Verified,0,80,1,25600,96.2,1,debt_consolidation,individual,25000,36,9.93,805.86,Current,21955.1,4015.51,3044.9,970.61,0
service tech,10,MD,OWN,58000,Source Verified,0,43,0,17000,86.4,0,debt_consolidation,individual,10000,36,9.92,322.3,Current,9275.14,961.39,724.86,236.53,0
senior technically writer,1,VA,RENT,105000,Not Verified,0,NA,0,51100,100,0,debt_consolidation,individual,6000,36,9.93,193.41,Current,5417.78,768.68,582.22,186.46,0
rn,10,VA,MORTGAGE,114000,Verified,1,15,0,33000,96.4,0,credit_card,individual,20000,60,14.07,466.1,Current,19297.02,1367.03,702.98,664.05,0
escrow manager,10,CA,MORTGAGE,150000,Source Verified,0,NA,0,54000,100,0,medical,individual,15000,36,7.97,469.84,Current,13504.32,1866.08,1495.68,370.4,0
quality control,0,PA,MORTGAGE,69000,Not Verified,0,75,0,57700,94.3,0,debt_consolidation,individual,20000,36,5.31,602.21,Current,18452.04,1800.73,1547.96,252.77,0
medical billing account rep,10,FL,MORTGAGE,30000,Not Verified,0,27,0,16850,93,0,debt_consolidation,individual,10500,60,9.93,222.74,Current,9949.81,885.17,550.19,334.98,0
truck driver,5,IL,MORTGAGE,60000,Source Verified,0,NA,1,12300,100,1,credit_card,individual,11400,60,14.08,265.74,Current,10862.71,1098.63,537.29,561.34,0
general manager,5,NH,MORTGAGE,74000,Not Verified,0,NA,0,66400,100,0,car,individual,5500,36,12.61,184.29,Current,5116.52,549.02,383.48,165.54,0
bartender,0,UT,RENT,25000,Source Verified,1,14,0,1200,66.7,0,debt_consolidation,individual,5000,36,12.62,167.56,Current,4412.9,829.04,587.1,241.94,0
,NA,DE,OWN,32000,Source Verified,0,34,0,2500,76.9,0,other,individual,9600,36,17.47,344.52,Current,8976.73,1014.93,623.27,391.66,0
interpreter/translator/school enrolment ,0,MA,RENT,31000,Source Verified,0,56,0,22000,100,0,other,individual,15000,36,12.62,502.67,Current,13238.74,2502.83,1761.26,741.57,0
accounts receivable manager,3,NJ,RENT,64000,Source Verified,0,NA,0,25000,100,0,debt_consolidation,individual,10000,36,6.71,307.45,Current,9241.17,914.89,758.83,156.06,0
asst to the director of theatre,3,KY,RENT,24000,Source Verified,0,NA,0,10000,100,0,major_purchase,individual,10450,60,19.42,273.5,Current,9609.03,1297.95,840.97,456.98,0
rn,2,NC,MORTGAGE,77000,Source Verified,0,NA,0,14800,100,0,credit_card,individual,7200,36,12.62,241.29,Current,6527.2,960.11,672.8,287.31,0
warehouse,10,FL,MORTGAGE,31000,Not Verified,0,NA,0,20300,100,0,debt_consolidation,joint,35000,60,14.08,815.85,Current,32925.97,4119.53,2074.03,2045.5,0
,NA,OR,RENT,13930,Verified,0,NA,0,2700,100,0,debt_consolidation,individual,4200,36,10.91,137.33,Current,3695.17,672.66,504.83,167.83,0
operations manager,0,OH,RENT,60000,Verified,0,NA,0,10600,100,0,other,individual,2400,36,17.47,86.13,Current,2244.18,256.06,155.82,100.24,0
administrative assistant,9,TX,MORTGAGE,41787,Verified,0,NA,0,22300,100,0,credit_card,individual,12800,36,18.06,463.14,Current,11693.32,1871.83,1106.68,765.15,0
composite tehnician,4,CA,MORTGAGE,45000,Verified,0,NA,1,20700,100,1,other,joint,8000,36,16.02,281.34,Current,7103.69,1392.46,896.31,496.15,0
pta,0,OK,MORTGAGE,77000,Verified,0,37,0,12400,90,0,debt_consolidation,individual,30000,36,19.03,1100.14,Current,27442.4,4368.84,2557.6,1811.24,0
service director,1,PA,MORTGAGE,72000,Source Verified,0,36,1,7900,95.2,1,debt_consolidation,individual,7000,36,12.62,234.58,Current,6178.08,1163.08,821.92,341.16,0
it support,8,TX,MORTGAGE,165000,Source Verified,0,NA,0,43500,100,0,other,individual,25000,36,6.07,761.35,Current,22441.1,3036.97,2558.9,478.07,0
senior accounts payable clerk,10,FL,MORTGAGE,43000,Source Verified,0,NA,0,35600,100,0,home_improvement,individual,40000,60,9.43,838.71,Current,37877.63,3220.14,2122.37,1097.77,0
master driver,10,VA,MORTGAGE,90000,Verified,0,NA,0,63500,100,0,debt_consolidation,individual,24000,60,10.42,514.91,Current,22440.6,2505.09,1559.4,945.69,0
teacher,10,SD,OWN,95000,Not Verified,0,NA,1,29600,100,1,debt_consolidation,individual,5000,36,7.96,156.59,Current,4627.27,465.35,372.73,92.62,0
physician assistant,10,MO,MORTGAGE,152000,Not Verified,0,48,0,170900,97.7,0,small_business,individual,40000,60,13.59,922.25,Current,37600,4550.85,2400,2150.85,0
credit analyst,2,IL,MORTGAGE,49500,Source Verified,0,NA,0,26700,100,0,credit_card,individual,15000,60,15.04,357.17,Current,14486.1,996.32,513.9,482.42,0
rca,5,TX,OWN,32000,Source Verified,0,36,0,11800,76.2,0,home_improvement,individual,5000,36,12.61,167.54,Current,4651.37,499.12,348.63,150.49,0
cabinet maker/installer,8,FL,RENT,78000,Source Verified,0,58,1,11900,68.4,1,credit_card,individual,7000,36,7.96,219.23,Current,6478.16,654.59,521.84,132.75,0
benefits representative,2,AZ,RENT,52000,Source Verified,0,NA,0,24500,100,0,debt_consolidation,individual,17450,60,13.58,402.25,Current,16828.69,1219.92,621.31,598.61,0
mechanic,10,NY,MORTGAGE,147000,Source Verified,0,56,0,20500,81.8,0,debt_consolidation,individual,30000,60,16.01,729.71,Current,29336.68,1432.74,663.32,769.42,0
superintendent -customer operations,10,NJ,OWN,140000,Verified,0,NA,0,77500,100,0,debt_consolidation,individual,15000,36,22.91,579.95,Current,13791.64,2281.62,1208.36,1073.26,0
teller,5,IL,RENT,50000,Not Verified,0,NA,0,60000,100,0,debt_consolidation,individual,20000,36,7.97,626.46,Current,17499.09,3110.16,2500.91,609.25,0
,NA,MN,RENT,55000,Not Verified,4,19,1,7600,85.7,1,debt_consolidation,individual,15000,60,18.06,381.4,Current,14197.97,1891.95,802.03,1089.92,0
territory manager,3,TX,MORTGAGE,190000,Not Verified,0,NA,0,62000,100,0,debt_consolidation,individual,12000,36,6.08,365.5,Current,10771.9,1474.16,1228.1,246.06,0
sr engineer,10,CO,RENT,126000,Source Verified,0,NA,0,27200,100,0,debt_consolidation,individual,16500,36,5.32,496.9,Current,14793.69,1982.72,1706.31,276.41,0
office manager,10,MA,MORTGAGE,95000,Not Verified,0,NA,1,39100,100,1,debt_consolidation,individual,19200,36,5.32,578.21,Current,17214.48,2307.17,1985.52,321.65,0
petroleum operator ,10,NJ,MORTGAGE,80000,Source Verified,0,NA,0,32500,100,0,major_purchase,individual,7050,36,9.93,227.26,Current,6191.3,1132.41,858.7,273.71,0
owner,10,MN,MORTGAGE,23000,Verified,0,59,1,14700,96,1,credit_card,joint,15000,60,20,397.41,Current,14395.45,1572.97,604.55,968.42,0
project manager,10,NY,OWN,66000,Not Verified,0,50,0,20800,81.8,0,debt_consolidation,joint,11200,36,15.05,388.53,Current,10188.92,1535.39,1011.08,524.31,0
driver/crane opeator,5,IL,RENT,60000,Source Verified,0,NA,0,15600,100,0,debt_consolidation,individual,8000,36,7.96,250.55,Current,7403.61,744.57,596.39,148.18,0
audit manager,0,TX,MORTGAGE,101000,Source Verified,1,5,0,20000,95.1,0,debt_consolidation,individual,20000,60,26.77,607.97,Current,19503.68,1764.42,496.32,1268.1,0
cfo,4,TN,MORTGAGE,113000,Not Verified,0,NA,1,16600,100,1,home_improvement,individual,10800,60,9.44,226.51,Current,10081.03,1126.89,718.97,407.92,0
qa auditor,10,NH,MORTGAGE,61000,Not Verified,0,58,0,3000,87.8,0,debt_consolidation,individual,7200,36,13.59,244.65,Current,6536.39,1003.07,663.61,339.46,0
line cook,1,SC,RENT,28000,Source Verified,0,NA,0,7900,100,0,debt_consolidation,individual,12000,36,15.04,416.22,Current,11192.5,1228.61,807.5,421.11,0
supervisor of technical trades,2,NY,MORTGAGE,75000,Not Verified,0,NA,0,46900,100,0,credit_card,individual,20000,36,5.31,602.21,Current,18452.04,1800.73,1547.96,252.77,0
crew chief ,2,FL,MORTGAGE,44000,Verified,0,NA,0,9500,100,0,home_improvement,individual,7200,36,14.08,246.36,Fully Paid,0,7518.180418,7200,318.18,0
owner,2,TX,RENT,60000,Source Verified,0,NA,0,600,100,0,small_business,individual,6000,36,13.59,203.88,Current,5304.78,1014.87,695.22,319.65,0
bus operator ,10,TX,RENT,47000,Not Verified,0,NA,0,8300,100,0,debt_consolidation,individual,5000,36,7.97,156.62,Current,4501.41,622.05,498.59,123.46,0
web developer,2,FL,RENT,58000,Source Verified,0,NA,0,36600,100,0,debt_consolidation,individual,16000,60,9.93,339.41,Current,14947.68,1688.22,1052.32,635.9,0
educator,10,AL,MORTGAGE,55000,Source Verified,0,62,0,22300,93.3,0,debt_consolidation,individual,15600,36,6.08,475.15,Current,13599.28,2370.48,2000.72,369.76,0
,NA,WY,RENT,31812,Not Verified,0,NA,0,48400,100,0,debt_consolidation,individual,10000,60,21.85,275.34,Current,9715.1,838.16,284.9,553.26,0
construction manager ,5,CA,RENT,95000,Source Verified,1,14,0,2100,83.3,0,moving,individual,10000,36,10.42,324.65,Current,9036.27,1287.02,963.73,323.29,0
education specialist,0,PA,MORTGAGE,65000,Source Verified,7,15,0,34900,50,0,debt_consolidation,individual,30000,36,17.47,1076.62,Current,28052.31,3200.74,1947.69,1253.05,0
ceo,4,CA,RENT,250000,Source Verified,0,75,0,20200,100,0,debt_consolidation,individual,30000,36,10.9,980.75,Current,28577.07,1925.17,1422.93,502.24,0
account administrator,10,CO,MORTGAGE,55200,Not Verified,0,NA,0,26400,100,0,credit_card,individual,16000,36,6.08,487.34,Current,13947.94,2425.89,2052.06,373.83,0
driver,10,NY,RENT,42000,Not Verified,1,22,0,11500,95.7,0,credit_card,individual,20000,36,12.61,670.13,Current,18605.56,1982.37,1394.44,587.93,0
,NA,MO,MORTGAGE,30784,Verified,0,47,0,14300,85,0,debt_consolidation,joint,6275,36,23.87,245.76,Current,5776.61,966.4,498.39,468.01,0
manager,4,FL,OWN,60000,Verified,0,NA,0,30600,100,0,credit_card,individual,15000,36,18.06,542.74,Current,13703.13,2246.21,1296.87,949.34,0
school administrator,10,MO,MORTGAGE,120000,Source Verified,0,NA,0,28500,100,0,debt_consolidation,individual,16000,60,13.59,368.9,Current,15040,1832.42,960,872.42,0
qc lead,4,CA,MORTGAGE,63000,Source Verified,0,78,1,2300,100,1,debt_consolidation,individual,10000,36,16.02,351.67,In Grace Period,9336.71,1032.76,663.29,369.47,0
planning supervisor ,10,NY,MORTGAGE,155000,Verified,0,NA,0,24500,100,0,major_purchase,individual,25000,36,9.93,805.86,Current,22574.16,3209.65,2425.84,783.81,0
pipefitter,1,MA,RENT,40000,Source Verified,0,NA,0,13800,100,0,car,individual,12000,36,9.92,386.76,Current,11130.17,1153.67,869.83,283.84,0
owner,3,TN,RENT,42500,Not Verified,0,NA,0,5800,100,0,credit_card,individual,6000,36,7.35,186.23,Current,5243.39,928.7,756.61,172.09,0
senior engagement lead,10,NJ,OWN,230000,Source Verified,0,38,0,38500,72.2,0,debt_consolidation,individual,12000,36,10.91,392.36,Current,10851.41,1562.17,1148.59,413.58,0
attorney,4,LA,MORTGAGE,75000,Source Verified,0,NA,0,12300,100,0,house,individual,10000,60,13.59,230.57,Current,9522.69,903.4,477.31,426.09,0
bank teller,0,OH,MORTGAGE,24000,Source Verified,0,NA,1,11000,100,1,debt_consolidation,joint,20000,36,14.07,684.24,Current,18634.9,2037.09,1365.1,671.99,0
field service engineer ,1,MA,RENT,110000,Not Verified,3,19,0,12700,90.9,0,credit_card,individual,8500,36,7.34,263.78,Current,7860.74,787.87,639.26,148.61,0
automotive service lane manager,10,WV,OWN,172000,Verified,0,NA,0,45200,100,0,home_improvement,individual,36000,60,15.05,857.39,Current,34345.64,3399.46,1654.36,1745.1,0
military officer captain,10,GA,RENT,145000,Verified,0,38,0,11000,72.4,0,debt_consolidation,joint,40000,36,6.72,1229.97,Current,35942.19,4890.01,4057.81,832.2,0
